cups;data_anterior;data_mesura;tarifa;origen;mesura_baixa;periode;consum;lectura_anterior;lectura_actual
ES0031406063689001CJ0F;2015-12-28;2016-01-26;2.0A;F1;N;P1;1;0;1
ES0031406223990040DE0F;2015-11-25;2016-01-26;2.0A;F1;N;P1;677;116;793
ES0031406058261001TJ0F;2015-12-29;2016-01-28;2.0A;F1;N;P1;607;4694;5301
ES0031405439587021EC0F;2015-11-25;2016-01-27;2.0A;F1;N;P1;533;23640;24173
ES0031300714101001PT0F;2015-12-28;2016-01-28;2.0A;F1;N;P1;173;13266;13439
ES0031406223927009YB0F;2015-11-23;2016-01-25;2.0A;F1;N;P1;846;0;846
ES0031405458897012HQ0F;2015-12-22;2016-01-25;2.0A;F1;N;P1;683;25299;25982
ES0031300798436013HS0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;81;9116;9197
ES0031405534374002DE0F;2015-12-22;2016-01-22;2.0A;F1;N;P1;139;5559;5698
ES0031405567043016JC0F;2016-01-03;2016-01-31;2.0A;F1;N;P1;448;14209;14657
ES0031405667112006KN0F;2016-01-08;2016-01-28;2.0A;F1;N;P1;0;0;0
ES0031406213108001XL0F;2015-10-06;2015-12-02;2.0A;F1;N;P1;435;59282;59717
ES0031406213354001BB0F;2015-12-02;2016-02-01;2.0A;F1;N;P1;998;194525;195523
ES0031406058147001NR0F;2015-11-24;2016-01-26;2.0A;F1;N;P1;140;69688;69828
ES0031406223989001XH0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;855;30234;31089
ES0031405879090008BD0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;535;97464;97999
ES0031405640438001BG0F;2015-12-10;2015-12-22;2.0A;F1;N;P1;677;0;677
ES0031405665948002NS0F;2016-01-18;2016-01-27;2.0A;F1;N;P1;0;0;0
ES0031406213600001NA0F;2015-12-01;2016-02-01;2.0A;F1;N;P1;286;1904;2190
ES0031300734333021AR0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;103;5374;5477
ES0031300826614002FZ0F;2015-11-30;2015-12-31;2.0A;F1;N;P1;740;8131;8871
ES0031405686571001DH0F;2015-12-29;2016-01-27;2.0A;F1;N;P1;641;43287;43928
ES0031300808121001KW0F;2016-01-03;2016-01-31;2.0A;F1;N;P1;143;1912;2055
ES0031300808670001QS0F;2015-12-19;2016-01-20;2.0A;F1;N;P1;315;2920;3235
ES0031406217529019HT0F;2015-10-03;2015-11-30;2.0A;F1;N;P1;382;71691;72073
ES0031300727291001GY0F;2015-11-30;2015-12-31;2.0A;F1;N;P1;532;19153;19685
ES0031405695738019PH0F;2016-01-03;2016-01-31;2.0A;F1;N;P1;145;2000;2145
ES0031300725257043YF0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;100;2165;2265
ES0031300727290001YH0F;2015-11-30;2015-12-31;2.0A;F1;N;P1;290;10760;11050
ES0031300720262001LJ0F;2015-11-30;2015-12-31;2.0A;F1;N;P1;516;7572;8088
ES0031405754094013AK0F;2015-12-23;2016-01-26;2.0A;F1;N;P1;690;10779;11469
